"character","jap text","Eng","Esp"
"narrator","そこは、洞窟と言うには あまりに整いすぎた地下空間だった。
ここは元来、戦時中に作られた防空壕であり、 軍需工場で働く大勢の工員たちを収容するため、 地下深く、頑丈に、そして巨大に作られている。
故に、新型爆弾により破壊された浅い層以外は、 この通りほとんど無傷で戦時中の姿を留めていた。
ただし、無傷とは言っても──
被爆時、大気と共に流れ込んで周囲に堆積した 放射性物質が、青く輝いていることを除けばだが。","It was an underground space that was too neat to be called a cave.
This was originally a wartime air-raid shelter, built deep underground, sturdy, and huge to accommodate the large number of workers at the munitions factory.
Therefore, except for the shallow layer that was destroyed by the new bomb Dan, it remained almost intact and in its wartime state.
However, although intact…
Except for the blue glow of radioactive materials that flowed into the air and accumulated around it when it was bombed.","Era un espacio subterráneo demasiado limpio para ser una cueva.
Originalmente era un refugio antiaéreo en tiempos de guerra, construido bajo tierra, robusto y enorme para albergar al gran número de trabajadores de la fábrica de municiones.
Por lo tanto, salvo la capa poco profunda destruida por la nueva bomba Dan, permaneció casi intacta y en su estado de guerra.
Sin embargo, aunque esté intacto…
Salvo el color azul brillante del material radiactivo que fluyó con la atmósfera en el momento del bombardeo y se depositó en los alrededores."
"Blue type (talking)","ああ…… 大変、大変……大変なの…………","Oh…… Oh my gosh, oh my gosh…… it's so hard …………","Oh…… Dios mío, es tan difícil…… es tan difícil …………"
"Blue type (talking)","どうしたの…… そんなに慌てて……","What's wrong…… in such a hurry ……","Qué pasa…… con tanta prisa ……"
"Blue type (talking)","む~みんが……む~みんが吠えるの……
あの子たち…… 放射能で、覚醒して……進化して…… プルトむぅになって……
ただの食用む~みんじゃ なくなったから…… 目も、耳もいいから……","M~Min is…… M~Min is barking ……
Those kids…… radiation, awakened…… evolved…… to become Pluto-Mu… …
Because they are no longer just edible m~min,…… because they have good eyes and ears, ……","Moo-moo aúlla…… Moo-moo aúlla ……
Esos niños…… radiación, despertaron,…… evolucionaron,…… y se convirtieron,…… Plutón-Mu… …
Porque ya no son sólo m~min comestibles…… porque tienen buenos ojos y oídos ……"
"Blue type (talking)","まさか、誰か来たの……？ また、あのひどい二人が……","Don't tell me someone came to ……? Also, those two awful people ……","¿No me digas que alguien vino a ……? Esas dos horribles personas de nuevo: ……"
"Blue type (talking)","違うの…… 違う人みたいなの……","It's different…… It's like a different person ……","Es diferente…… Es como una persona diferente ……"
"Blue type (talking)","それは、青姫さまに…… 青姫さまに、報せなくちゃ……
 ………………
ああ、駄目…… 青姫さま、眠ってる…… 心、繋がらない……","That's for Aohime to…… …… Aohime to inform ……
 ………………
Oh, no…… Aohime, you're sleeping…… hearts, no connection……","Debe ser reportado al Aohime,…… ……
 ………………
Oh, no…… Aohime, estás dormido…… Corazón, no hay conexión……"
"Blue type (talking)","私、青姫さまを起こしてくる…… ここから先、人を通さないで……","I, Aohime, am going to wake up the Lady…… from here, without letting people through ……","Yo, Aohime, voy a despertar a la Dama…… desde aquí, sin dejar pasar a la gente ……"
"Blue type (talking)","うん、む~みんを…… プルトむぅをたくさん連れてくる…… あたし、ここから通さない……","Yeah, I'll bring M~Min to…… a lot of Pluto Moo…… I won't let you through from here ……","Sí, voy a llevar a M~Min a…… un montón de Pluto Moo…… no te dejaré pasar de aquí ……"
"Blue type (talking)","……頑張って…………","…… good luck …………","…… Buena suerte …………"
"narrator","そして、仲間と別れたブルータイプは 地下へ地下へとひたすらに洞窟内を走り続ける。
 ──やがて、ブルータイプは最下層に着く。
小さな部屋の片隅に横たわるのは、 他のブルータイプより少しだけ年かさの少女──","Then, Blue type parted from his friends and continued to run through the cave, underground and underground.
Eventually, Blue type arrives at the lowest level.
Lying in the corner of a small room is a girl a little older than the other Blue type.","Entonces, tipo azul se separó de sus amigos y continuó corriendo por las cuevas, bajo tierra y en el subsuelo.
 ─ ─ Finalmente, tipo azul llega al nivel más bajo.
Tumbada en un rincón de una pequeña habitación hay una chica algo mayor que los otros tipos azules…"
"Blue type (talking)","……青姫さま、起きて………… 大変、大変なの……青姫さま……","……Aohime sir, wake up………… Oh my God, it's so hard ……Aohime sir ……","……Aohime señor, despierte………… Oh Dios mío, es tan difícil ……Aohime señor ……"
"Aohime (talking)","……………………ん……
あら……？ どうしたの……そんなに慌てて……","……………………… …
Oh ……? What's the matter…… in such a hurry……","……………………… …
Oh ……? Qué pasa…… con tanta prisa……"
"Blue type (talking)","あのね、あのね……青姫さま…………","You know, you know: ……Aohime wandering …………","Ya sabes, ya sabes: ……Aohimeさま …………"
"Aohime (talking)","……喋らないでいいわ…… あなたの心に……直接訊くから……
 ………………
そう…… 新しい旧人類が……来たのね……
戦争中は……私たちを酷使して…… ずっと働かせて…………
私たちが覚醒したら…… 危険だからって、殺しに来て……
 ……変化を、進化を恐れる旧人類……
可哀相な人たち……","You don't have to speak…… I'll ask your mind…… directly ……
 ………………
So…… the new old humans have come…… to us……
During the war…… they overworked us…… and made us work all the time …………
When we woke up,…… they came to Satsu us because we were dangerous,……
The old humans who fear…… change and evolution……
Poor people……","No tienes que hablar…… No tienes que hablar…… Te preguntaré tu mente…… directamente ……
 ………………
Así que…… los nuevos viejos humanos han venido…… a nosotros……
Durante la guerra…… nos sobrecargaron de trabajo y nos hicieron trabajar…… todo el tiempo …………
Cuando nos despertamos,…… viniste a Satsu porque éramos peligrosos, ……
Los viejos humanos que temen el cambio ……, la evolución……
Pobre gente……"
"Blue type (talking)","あ……青姫さま……","A……Aohime wandering……","Ah……AohimeWanderer……"
"Aohime (talking)","……怖い……？ そうよね、怖いね……
でも……頑張って、戦いましょう…… 私たちは、何も悪くない…………
私たちに力をくれた、あの青い光…… 憎い軍人さんや大人を殺してくれた 青い光が、私たちにはついてるの……
きっと、勝てるから…… 頑張って…………みんな……","Are you…… scared……? Yes, I know, it's scary……
But…… good luck, let's fight it…… We did nothing wrong…………
We have that blue light that gave us strength,…… and that blue light that Satsu hateful soldiers and adults,……
We're going to win this thing…… Good luck to………… everyone……","¿Es usted…… scared……? Sí, lo sé, da miedo ……
Pero…… buena suerte y vamos a luchar…… no podemos hacer nada malo…………
Tenemos esa luz azul que nos dio fuerza,…… y esa luz azul que Satsu a los soldados y adultos odiosos,……
Vamos a ganar, vamos a ganar…… Buena suerte………… chicos……"
"narrator","──そう、みんな。
青姫が一人のブルータイプに語りかけた言葉は、 超能力で他の全てのブルータイプに伝わっていた。
旧人類に負けるものか── 怖くなんかない、絶対怖くない──
青姫の脳裏に、 他のブルータイプが送ってくる念波が反響する。","─ ─ Yes, everyone.
The words Aohime spoke to one Blue type were transmitted to all the other Blue types by ESP.
We will not be defeated by the old humans… I'm not afraid, I'm not afraid at all…
The telekinetic waves sent by the other Blue types reverberated in Aohime's mind.","─ ─ Sí, todos.
Las palabras que Aohime dijo a un tipo azul fueron transmitidas a todos los demás tipos azules por PES.
No nos derrotarán los viejos humanos──No tengo miedo, nunca tengo miedo──…
Las ondas telequinéticas enviadas por los otros tipos azules reverberaron en la mente de Aohime."
"Aohime (talking)","さあ、行きましょう…… 大丈夫、私たちはきっと勝てるから……","Let's go…… Don't worry, we'll win……","Vamos…… No te preocupes, ganaremos……"
"Blue type (talking)","……はい、青姫さま…………！","…… Yes, Dear Aohime …………!","…… ¡Sí, querida Aohime …………!"
"Yamamoto Akuji (talking)","えらい地下深いとこまで来ちまったが、 もうぼちぼち最下層か？","We've come so far underground, but are we almost at the bottom now?","Hemos llegado tan lejos bajo tierra, ¿ya casi estamos en el fondo?"
"Chinpira (talking)","へい、どうもそうらしいです。 ざっと通路を見回ってきやしたが、 下への階段もありやせん。","Yes, that seems to be the case. I looked around the passageway, but there are no stairs to the lower level.","Sí, aparentemente sí. He echado un vistazo rápido al pasillo, pero no hay escaleras para bajar."
"Elite Yakuza (talking)","もう化け物どもも見あたりませんし、 戦闘に参加させていた部下たちは 引き上げさせましょう。","Now that there are no more monsters in sight, let's pull our men out of the battle.","No hay más monstruos a la vista, y los hombres que hemos enviado a la batalla deben ser retirados."
"Yamamoto Akuji (talking)","まあ待てや、 まだ何か居るかもしんねーぞ？","Wait a minute, what if there's more out there?","Un momento, ¿y si hay más?"
"Elite Yakuza (talking)","いえ若、化け物どもの事ではなく、 猿田博士から貰った対放射能薬の効果が 切れかけているようで……","No, young man, I'm not talking about the monsters, but the anti-radiation medicine that Dr. Saruta gave me is wearing off……","No, joven, no me refiero a los monstruos, sino que la medicina antirradiación que me dio el Dr. Saruta está desapareciendo……"
"Yamamoto Akuji (talking)","げ、マジか？
あ……そういや俺も、 ちいっと肌がピリピリし始めてるよーな。","Oh, really?
Oh,…… Well, my skin is a little tingly Hajime too, isn't it?","¿Hablas en serio?
Oh,…… bueno, mi piel está un poco tensa Hajime también."
